Flight No.,Date and time (UTC),"Version, Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launch outcome,Booster landing
1,"4 June 2010,18:45",F9 v1.0[7]B0003.1[8],"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure[9][10](parachute)
2,"8 December 2010,15:43[13]",F9 v1.0[7]B0004.1[8],"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),,LEO(ISS),NASA(COTS)NRO,Success[9],Failure[9][14](parachute)
3,"22 May 2012,07:44[17]",F9 v1.0[7]B0005.1[8],"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),"525 kg (1,157 lb)[19]",LEO(ISS),NASA(COTS),Success[20],No attempt
4,"8 October 2012,00:35[21]",F9 v1.0[7]B0006.1[8],"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg (10,400 lb)",LEO(ISS),NASA(CRS),Success,No attempt
Orbcomm-OG2[23],172 kg (379 lb)[24],LEO,Orbcomm,Partial failure[25]
5,"1 March 2013,15:10",F9 v1.0[7]B0007.1[8],"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg (10,752 lb)",LEO(ISS),NASA(CRS),Success,No attempt
6,"29 September 2013,16:00[30]",F9 v1.1[7]B1003[8],"VAFB,SLC-4E",CASSIOPE[22][31],"500 kg (1,100 lb)",Polar orbitLEO,MDA,Success[30],Uncontrolled(ocean)[d]
7,"3 December 2013,22:41[34]",F9 v1.1B1004,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg (6,990 lb)",GTO,SES,Success[37],No attempt[38]
8,"6 January 2014,22:06[41]",F9 v1.1,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg (7,330 lb)",GTO,Thaicom,Success[42],No attempt[43]
9,"18 April 2014,19:25[21]",F9 v1.1,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg (5,062 lb)[45]",LEO(ISS),NASA(CRS),Success,Controlled(ocean)[d][46]
10,"14 July 2014,15:15",F9 v1.1,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg (2,901 lb)",LEO,Orbcomm,Success[51],Controlled(ocean)[d][46]
11,"5 August 2014,08:00",F9 v1.1,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg (9,998 lb)",GTO,AsiaSat,Success[56],No attempt[57]
12,"7 September 2014,05:00",F9 v1.1B1011[8],"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg (9,762 lb)",GTO,AsiaSat,Success[59],No attempt
13,"21 September 2014,05:52[21]",F9 v1.1B1010[8],"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216 kg (4,885 lb)[62]",LEO(ISS),NASA(CRS),Success[63],Uncontrolled(ocean)[d][64]
14,"10 January 2015,09:47[67]",F9 v1.1B1012[8],"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg (5,280 lb)[69]",LEO(ISS),NASA(CRS),Success[70],Failure(drone ship)
15,"11 February 2015,23:03[72]",F9 v1.1B1013[8],"Cape Canaveral,LC-40",DSCOVR[68][73],"570 kg (1,260 lb)",HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,Controlled(ocean)[d]
16,"2 March 2015,03:50[21][76]",F9 v1.1B1014[8],"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159 kg (9,169 lb)",GTO,ABSEutelsat,Success,No attempt[77]
17,"14 April 2015,20:10[21]",F9 v1.1B1015[8],"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898 kg (4,184 lb)[82]",LEO(ISS),NASA(CRS),Success,Failure[83](drone ship)
18,"27 April 2015,23:03[86]",F9 v1.1B1016[8],"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt[89]
19,"28 June 2015,14:21[21][91]",F9 v1.1B1018[8],"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg (4,303 lb)[92]",LEO(ISS),NASA(CRS),Failure[93](in flight),Precluded[94](drone ship)
